===================================================================================================================
Lumping method ** FullSystem ** | Pure organic component vapor pressure, param. A and B computed using EVAPORATION method | YaxisChoice = log10(act.coeff_ratio)
===================================================================================================================
 
nneutral (full system) : 175; # of organic surrogate components: 174
 
  EVAPParam_A,      EVAPParam_B,       SMILES                                                                                                                                                                                                                                                               
 3.839060E+00,    -2.835310E+04,    O=CC(=O)C(=O)C                                                                                                                                                                                          
 4.000210E+00,    -4.796410E+04,    O=CCC(OO)CC=O                                                                                                                                                                                           
 4.949740E+00,    -7.855340E+04,    OCC(OO)CC(=O)C(=O)O                                                                                                                                                                                     
 4.265810E+00,    -5.797180E+04,    OOCC1CC(C(=O)CO)C1(C)C                                                                                                                                                                                  
 3.855290E+00,    -5.598480E+04,    CC(=O)C(O)CC(=O)COO                                                                                                                                                                                     
 4.296400E+00,    -5.470270E+04,    O=CCC(CC(=O)C(=O)C)C(C)(C)O                                                                                                                                                                             
 3.176550E+00,    -2.383870E+04,    O=CCC=O                                                                                                                                                                                                 
 3.997580E+00,    -4.128570E+04,    O=CCC(=O)O                                                                                                                                                                                              
 3.797870E+00,    -4.510130E+04,    O=CCC(C(=O)C)C(C)(C)O                                                                                                                                                                                   
 4.291970E+00,    -4.810810E+04,    O=CC1CC(C(=O)O)C1(C)C                                                                                                                                                                                   
 5.284230E+00,    -6.073760E+04,    OCC(ON(=O)=O)CC(=O)C(=O)C                                                                                                                                                                               
 4.278870E+00,    -5.722110E+04,    OCC(=O)C1CC(CC(=O)OON(=O)=O)C1(C)C                                                                                                                                                                      
 4.447780E+00,    -5.877720E+04,    O=N(=O)OOC(=O)CC1CC(C(=O)O)C1(C)C                                                                                                                                                                       
 3.664540E+00,    -2.967890E+04,    O=CCC(=O)C=O                                                                                                                                                                                            
 4.937760E+00,    -7.354700E+04,    OCC(=O)C(=O)CC(CO)C(C)(C)O                                                                                                                                                                              
 4.565760E+00,    -6.743690E+04,    OC(=O)CC1CC(C(=O)O)C1(C)C                                                                                                                                                                               
 4.306840E+00,    -5.133790E+04,    OOCC(=O)C(=O)CO                                                                                                                                                                                         
 4.394830E+00,    -3.664660E+04,    O=CC(=O)O                                                                                                                                                                                               
 4.956120E+00,    -7.987730E+04,    OOC1(C)C(O)CC(=O)CC1O                                                                                                                                                                                   
 5.198380E+00,    -6.620470E+04,    O=CC(=O)CC(=O)C(C)(ON(=O)=O)C(=O)OO                                                                                                                                                                     
 3.973990E+00,    -4.160060E+04,    OCC(=O)OO                                                                                                                                                                                               
 4.052080E+00,    -3.928030E+04,    O=CC(=O)CC(=O)C(=O)C                                                                                                                                                                                    
 4.200330E+00,    -4.661340E+04,    OOC(=O)CC(=O)CC=O                                                                                                                                                                                       
 4.505170E+00,    -6.220480E+04,    O=CC(=O)CC(=O)C(C)(ON(=O)=O)C(=O)OON(=O)=O                                                                                                                                                              
 3.579700E+00,    -4.509140E+04,    O=N(=O)OOC(=O)CC1CC(C(=O)C)C1(C)C                                                                                                                                                                       
 4.110950E+00,    -5.160470E+04,    O=CCC(CC=O)C(C)(C)ON(=O)=O                                                                                                                                                                              
 5.506990E+00,    -7.713500E+04,    O=C1CC(O)C(C)(ON(=O)=O)C(O)C1                                                                                                                                                                           
 4.786890E+00,    -7.769630E+04,    OCC1CC(OO)(C(=O)O)C1(C)C                                                                                                                                                                                
 4.276820E+00,    -4.553000E+04,    O=CCC1CC(OO)C1(C)C                                                                                                                                                                                      
 4.096220E+00,    -4.805020E+04,    O=CCC1(O)CC(C(=O)C)C1(C)C                                                                                                                                                                               
 4.354950E+00,    -5.092960E+04,    O=CCC1CC(C(=O)O)C1(C)C                                                                                                                                                                                  
 4.184260E+00,    -4.533010E+04,    O=CCC1CC(C(=O)OO)C1(C)C                                                                                                                                                                                 
 4.247240E+00,    -4.815150E+04,    OOC(=O)CC1CC(C(=O)C)C1(C)C                                                                                                                                                                              
 5.159050E+00,    -8.279280E+04,    OCC(=O)C(=O)CC(CO)C(C)(C)OO                                                                                                                                                                             
 4.398470E+00,    -7.237030E+04,    OCC(=O)C1(OO)CC(CO)C1(C)C                                                                                                                                                                               
 5.071780E+00,    -7.066300E+04,    OCC(CC(=O)C(=O)C)C(C)(C)OO                                                                                                                                                                              
 4.466100E+00,    -4.463010E+04,    OCC(=O)C(=O)CC=O                                                                                                                                                                                        
 4.682740E+00,    -5.488790E+04,    O=C1CC(=O)C(C)(ON(=O)=O)C(=O)C1                                                                                                                                                                         
 4.606860E+00,    -5.741730E+04,    OOC(=O)CC(=O)C(=O)CO                                                                                                                                                                                    
 3.766320E+00,    -4.563590E+04,    CC(=O)C(O)C(=O)OO                                                                                                                                                                                       
 4.426400E+00,    -5.482310E+04,    O=CCC(ON(=O)=O)CC(=O)C(=O)C                                                                                                                                                                             
 3.840030E+00,    -4.348020E+04,    O=CCC1CC(O)(C(=O)C)C1(C)C                                                                                                                                                                               
 3.559140E+00,    -2.692290E+04,    OCC=O                                                                                                                                                                                                   
 4.184260E+00,    -4.533010E+04,    OOC(=O)C1CC(C(=O)C)C1(C)C                                                                                                                                                                               
