===================================================================================================================
Lumping method ** FullSystem ** | Organic surrogate components total (gas + condensed) composition | psat calculated by EVAP method at T = 298.15 K
YaxisChoice = log10(act.coeff_ratio)
Grid resolution = fullRes
===================================================================================================================
 
nneutral (full system) : 0175; # of organic surrogate components: 0174
 
Comp_ID, TotMassConc_lumped_[ug/m^3], ntot_lumped_[mol/m^3], TotMassConc_original_[ug/m^3], ntot_original_[mol/m^3], Molar_mass_[kg/mol]
065,        2.829298E-01,        1.413730E-09,        2.829298E-01,        1.413730E-09,        2.001300E-01
066,        4.049482E-03,        5.622250E-11,        4.049482E-03,        5.622250E-11,        7.202600E-02
067,        3.649584E-03,        4.146030E-11,        3.649584E-03,        4.146030E-11,        8.802600E-02
068,        2.041917E-12,        1.291290E-20,        2.041917E-12,        1.291290E-20,        1.581300E-01
069,        2.458924E-01,        1.574820E-09,        2.458924E-01,        1.574820E-09,        1.561400E-01
070,        1.711497E-07,        8.958280E-16,        1.711497E-07,        8.958280E-16,        1.910520E-01
071,        4.308491E-02,        1.649600E-10,        4.308491E-02,        1.649600E-10,        2.611840E-01
072,        8.677237E-02,        3.510550E-10,        8.677237E-02,        3.510550E-10,        2.471760E-01
073,        2.540290E-05,        2.540290E-13,        2.540290E-05,        2.540290E-13,        1.000000E-01
074,        1.216984E-11,        5.961340E-20,        1.216984E-11,        5.961340E-20,        2.041460E-01
075,        6.517821E-01,        3.501080E-09,        6.517821E-01,        3.501080E-09,        1.861660E-01
076,        1.254570E-05,        9.290220E-14,        1.254570E-05,        9.290220E-14,        1.350420E-01
077,        1.153756E-06,        1.559130E-14,        1.153756E-06,        1.559130E-14,        7.400000E-02
078,        7.976329E-03,        4.528660E-11,        7.976329E-03,        4.528660E-11,        1.761300E-01
079,        8.348770E-17,        3.338680E-25,        8.348770E-17,        3.338680E-25,        2.500620E-01
080,        1.559103E-06,        1.693720E-14,        1.559103E-06,        1.693720E-14,        9.205200E-02
081,        7.119913E-05,        4.978960E-13,        7.119913E-05,        4.978960E-13,        1.430000E-01
082,        1.538880E-05,        1.053710E-13,        1.538880E-05,        1.053710E-13,        1.460440E-01
083,        4.071096E-16,        1.379780E-24,        4.071096E-16,        1.379780E-24,        2.950540E-01
084,        4.018042E-02,        1.638840E-10,        4.018042E-02,        1.638840E-10,        2.451760E-01
085,        4.044981E-07,        1.991150E-15,        4.044981E-07,        1.991150E-15,        2.031480E-01
086,        8.164491E-09,        3.980310E-17,        8.164491E-09,        3.980310E-17,        2.051220E-01
087,        1.700190E-01,        8.940180E-10,        1.700190E-01,        8.940180E-10,        1.901740E-01
088,        3.724745E-01,        2.354840E-09,        3.724745E-01,        2.354840E-09,        1.581740E-01
089,        3.145924E-02,        1.708200E-10,        3.145924E-02,        1.708200E-10,        1.841660E-01
090,        9.272737E-01,        5.449230E-09,        9.272737E-01,        5.449230E-09,        1.701660E-01
091,        3.631780E-03,        1.950640E-11,        3.631780E-03,        1.950640E-11,        1.861840E-01
092,        1.827974E-03,        9.131470E-12,        1.827974E-03,        9.131470E-12,        2.001840E-01
093,        1.509402E-01,        6.856370E-10,        1.509402E-01,        6.856370E-10,        2.201460E-01
094,        5.589952E-01,        2.737730E-09,        5.589952E-01,        2.737730E-09,        2.041820E-01
095,        4.605782E-01,        2.256210E-09,        4.605782E-01,        2.256210E-09,        2.041380E-01
096,        2.087031E-02,        1.605310E-10,        2.087031E-02,        1.605310E-10,        1.300080E-01
097,        1.284202E-11,        6.356050E-20,        1.284202E-11,        6.356050E-20,        2.020440E-01
098,        2.760858E-06,        1.703960E-14,        2.760858E-06,        1.703960E-14,        1.620260E-01
099,        1.650725E-08,        1.231480E-16,        1.650725E-08,        1.231480E-16,        1.340440E-01
100,        2.724505E-05,        1.341830E-13,        2.724505E-05,        1.341830E-13,        2.030440E-01
101,        1.473569E+00,        8.001310E-09,        1.473569E+00,        8.001310E-09,        1.841660E-01
102,        1.209127E-03,        2.014070E-11,        1.209127E-03,        2.014070E-11,        6.003400E-02
103,        1.661535E-04,        8.925400E-13,        1.661535E-04,        8.925400E-13,        1.861580E-01
104,        2.498610E-04,        1.160870E-12,        2.498610E-04,        1.160870E-12,        2.152360E-01
105,        2.007291E-01,        1.165850E-09,        2.007291E-01,        1.165850E-09,        1.721740E-01
106,        7.617091E-02,        3.524310E-10,        7.617091E-02,        3.524310E-10,        2.161300E-01
107,        6.915810E+00,        4.112490E-08,        6.915810E+00,        4.112490E-08,        1.681660E-01
108,        8.327350E-06,        6.935990E-14,        8.327350E-06,        6.935990E-14,        1.200600E-01
109,        3.834551E-02,        2.016720E-10,        3.834551E-02,        2.016720E-10,        1.901380E-01
