===================================================================================================================
Lumping method ** FullSystem ** | Pure organic component properties | psat calculated by EVAP method at T = 298.15 K                                                                                                                                                                                        
YaxisChoice = log10(act.coeff_ratio)                                                                                                                                                                                                                                                                        
Grid resolution = fullRes                                                                                                                                                                                                                                                                                   
===================================================================================================================
 
nneutral (full system) : 175; # of organic surrogate components: 174
 
Cpno.,   OtoC_ratio,    HtoC_ratio,      meanOS_C,    Pure_Comp_VP_[Pa], actcoeff_ratio, Molar_mass_[kg/mol], C0_[ug/m^3]                                                                                                                                                                                   
042,	 1.400000E+00,	 1.000000E+00,	 8.000000E-01,	 1.850320E+00,	 4.329893E-01,	 1.910360E-01,	 1.425913E+05
043,	 8.333333E-01,	 1.666667E+00,	 0.000000E+00,	 2.102952E-04,	 1.388964E+01,	 1.620680E-01,	 1.374857E+01
044,	 7.500000E-01,	 1.500000E+00,	 0.000000E+00,	 1.400805E+02,	 2.685565E+00,	 1.020080E-01,	 5.764252E+06
045,	 2.000000E+00,	 3.000000E+00,	 1.000000E+00,	 8.590458E+03,	 1.815351E-01,	 4.703400E-02,	 1.629894E+08
046,	 7.000000E-01,	 1.500000E+00,	-6.000000E-01,	 3.412710E-05,	 3.428984E-03,	 2.611480E-01,	 3.595151E+00
047,	 1.250000E+00,	 1.750000E+00,	-5.000000E-01,	 4.458055E+00,	 4.457959E-01,	 1.490520E-01,	 2.680490E+05
048,	 1.250000E+00,	 1.000000E+00,	 1.500000E+00,	 1.282414E+01,	 3.850881E+00,	 1.320180E-01,	 6.829556E+05
049,	 2.500000E-01,	 1.750000E+00,	-1.250000E+00,	 2.056595E+01,	 5.681088E-03,	 1.421740E-01,	 1.179505E+06
050,	 7.142857E-01,	 1.428571E+00,	 0.000000E+00,	 2.102322E-02,	 5.308737E-01,	 1.740520E-01,	 1.476078E+03
051,	 1.000000E+00,	 2.000000E+00,	 0.000000E+00,	 1.578961E+02,	 4.835720E-01,	 9.003400E-02,	 5.734678E+06
052,	 5.000000E-01,	 1.500000E+00,	-1.000000E+00,	 6.581169E-02,	 2.381285E-03,	 2.291580E-01,	 6.083718E+03
053,	 5.000000E-01,	 1.750000E+00,	-7.500000E-01,	 4.289478E-02,	 5.605514E-03,	 1.741560E-01,	 3.013519E+03
054,	 1.000000E+00,	 1.000000E+00,	 1.000000E+00,	 3.683281E+05,	 3.098752E-01,	 2.900000E-02,	 4.308874E+09
055,	 5.000000E-01,	 1.750000E+00,	-7.500000E-01,	 4.289478E-02,	 1.832979E-02,	 1.741300E-01,	 3.013069E+03
056,	 4.444444E-01,	 1.666667E+00,	-1.333333E+00,	 5.179350E+00,	 1.550628E-03,	 2.011660E-01,	 4.203014E+05
057,	 5.000000E-01,	 1.700000E+00,	-7.000000E-01,	 4.441107E-03,	 5.963693E-02,	 2.172000E-01,	 3.891187E+02
058,	 4.000000E-01,	 1.600000E+00,	-8.000000E-01,	 4.792053E-04,	 2.637498E-02,	 2.001740E-01,	 3.869548E+01
059,	 4.000000E-01,	 1.600000E+00,	-8.000000E-01,	 2.280172E-02,	 4.998674E-03,	 2.001660E-01,	 1.841149E+03
060,	 7.500000E-01,	 1.250000E+00,	 2.500000E-01,	 2.174478E+03,	 1.602209E+00,	 1.010000E-01,	 8.859461E+07
061,	 8.000000E-01,	 1.600000E+00,	 0.000000E+00,	 4.888599E-01,	 9.437454E-02,	 1.320780E-01,	 2.604629E+04
062,	 1.200000E+00,	 1.600000E+00,	 8.000000E-01,	 4.976501E-06,	 5.301261E+00,	 1.640600E-01,	 3.293501E-01
063,	 4.444444E-01,	 1.888889E+00,	-1.000000E+00,	 1.025293E-02,	 1.737267E-02,	 1.891900E-01,	 7.824870E+02
064,	 8.333333E-01,	 1.666667E+00,	 0.000000E+00,	 9.689268E-03,	 2.110417E+00,	 1.620600E-01,	 6.334288E+02
065,	 4.000000E-01,	 1.600000E+00,	-8.000000E-01,	 4.747241E-02,	 9.339659E-02,	 2.001300E-01,	 3.832520E+03
066,	 6.666667E-01,	 1.333333E+00,	 0.000000E+00,	 3.562381E+03,	 2.529609E-01,	 7.202600E-02,	 1.035048E+08
067,	 1.000000E+00,	 1.333333E+00,	 6.666667E-01,	 9.633720E+00,	 9.106814E-01,	 8.802600E-02,	 3.420865E+05
068,	 3.750000E-01,	 1.750000E+00,	-1.000000E+00,	 1.103891E+00,	 5.398920E-02,	 1.581300E-01,	 7.041604E+04
069,	 3.750000E-01,	 1.500000E+00,	-7.500000E-01,	 8.973735E-01,	 1.868650E-02,	 1.561400E-01,	 5.652212E+04
070,	 1.000000E+00,	 1.500000E+00,	-3.333333E-01,	 3.104758E-02,	 8.656623E-01,	 1.910520E-01,	 2.392821E+03
071,	 7.000000E-01,	 1.500000E+00,	-6.000000E-01,	 1.478179E-02,	 7.259767E-03,	 2.611840E-01,	 1.557416E+03
072,	 7.777778E-01,	 1.444444E+00,	-4.444444E-01,	 1.087361E-02,	 7.781466E-03,	 2.471760E-01,	 1.084204E+03
073,	 7.500000E-01,	 1.000000E+00,	 5.000000E-01,	 8.040928E+02,	 1.030113E+00,	 1.000000E-01,	 3.243674E+07
074,	 5.555556E-01,	 1.777778E+00,	-6.666667E-01,	 4.543679E-05,	 8.608665E-01,	 2.041460E-01,	 3.741791E+00
075,	 4.444444E-01,	 1.555556E+00,	-6.666667E-01,	 2.966596E-04,	 2.847126E-02,	 1.861660E-01,	 2.227870E+01
076,	 1.250000E+00,	 1.750000E+00,	 7.500000E-01,	 2.190149E-01,	 2.267687E+00,	 1.350420E-01,	 1.193091E+04
077,	 1.500000E+00,	 1.000000E+00,	 2.000000E+00,	 1.914969E+02,	 2.157595E+00,	 7.400000E-02,	 5.716424E+06
078,	 7.142857E-01,	 1.714286E+00,	-2.857143E-01,	 2.793472E-06,	 2.143043E-01,	 1.761300E-01,	 1.984763E-01
079,	 1.285714E+00,	 1.142857E+00,	 7.142857E-01,	 2.209154E-03,	 1.381959E+00,	 2.500620E-01,	 2.228459E+02
080,	 2.000000E+00,	 2.000000E+00,	 2.000000E+00,	 7.925681E+00,	 3.630858E+00,	 9.205200E-02,	 2.943071E+05
081,	 6.666667E-01,	 1.166667E+00,	 1.666667E-01,	 2.678127E+01,	 2.762093E+00,	 1.430000E-01,	 1.544892E+06
082,	 1.000000E+00,	 1.200000E+00,	 8.000000E-01,	 1.417979E+00,	 1.722076E+00,	 1.460440E-01,	 8.353810E+04
083,	 1.571429E+00,	 1.000000E+00,	 7.142857E-01,	 2.679001E-03,	 2.819645E-01,	 2.950540E-01,	 3.188639E+02
084,	 6.000000E-01,	 1.500000E+00,	-8.000000E-01,	 6.709333E-01,	 2.998237E-03,	 2.451760E-01,	 6.635724E+04
085,	 6.250000E-01,	 1.625000E+00,	-1.000000E+00,	 1.238111E-01,	 2.682383E-03,	 2.031480E-01,	 1.014619E+04
086,	 8.571429E-01,	 1.571429E+00,	-5.714286E-01,	 3.386023E-05,	 1.025884E-01,	 2.051220E-01,	 2.801774E+00
