CpNo SMILES VP_N_BP_N_ParA VP_N_BP_N_ParB VP_N_BP_SB_ParA VP_N_BP_SB_ParB VP_N_BP_JR_ParA VP_N_BP_JR_ParB VP_MY_BP_N_ParA VP_MY_BP_N_ParB VP_MY_BP_SB_ParA VP_MY_BP_SB_ParB VP_MY_BP_JR_ParA VP_MY_BP_JR_ParB EVAP_ParA EVAP_ParB EVAP2_ParA EVAP2_ParB SIMPOL_ParA SIMPOL_ParB
76 OOCC(=O)C(=O)CO 4.30147E+00 -6.13350E+04 4.18383E+00 -5.59852E+04 4.39818E+00 -6.50010E+04 3.51676E+00 -5.37930E+04 3.62273E+00 -5.00861E+04 3.44041E+00 -5.61971E+04 4.30684E+00 -5.13379E+04 4.30684E+00 -5.13379E+04 1.20456E+00 -3.87871E+04
77 O=CC(=O)O 3.73018E+00 -3.51869E+04 3.72758E+00 -3.63198E+04 3.73108E+00 -3.49224E+04 3.86251E+00 -3.56862E+04 3.85041E+00 -3.67868E+04 3.86505E+00 -3.54262E+04 4.39483E+00 -3.66466E+04 4.39483E+00 -3.66466E+04 2.92548E+00 -3.47346E+04
78 OOC1(C)C(O)CC(=O)CC1O 4.98053E+00 -7.35705E+04 5.01364E+00 -7.47326E+04 6.21914E+00 -1.05180E+05 3.30704E+00 -5.43986E+04 3.28528E+00 -5.50293E+04 2.70303E+00 -6.92887E+04 4.95612E+00 -7.98773E+04 4.95612E+00 -7.98773E+04 1.78682E+00 -5.48849E+04
79 O=CC(=O)CC(=O)C(C)(ON(=O)=O)C(=O)OO 4.89982E+00 -7.39924E+04 4.91693E+00 -7.45522E+04 5.99229E+00 -1.01264E+05 3.37592E+00 -5.57720E+04 3.36662E+00 -5.60846E+04 2.89899E+00 -6.91786E+04 5.19838E+00 -6.62047E+04 5.19838E+00 -6.62047E+04 1.51822E+00 -5.37878E+04
80 OCC(=O)OO 4.00790E+00 -4.17498E+04 4.00582E+00 -3.97750E+04 4.00584E+00 -4.03150E+04 3.94025E+00 -4.04128E+04 3.96571E+00 -3.86343E+04 3.95918E+00 -3.91260E+04 3.97399E+00 -4.16006E+04 3.97399E+00 -4.16006E+04 3.24279E+00 -3.52396E+04
81 O=CC(=O)CC(=O)C(=O)C 3.41214E+00 -4.03240E+04 3.42336E+00 -4.13425E+04 3.46589E+00 -4.44107E+04 3.39965E+00 -3.91213E+04 3.38770E+00 -3.99954E+04 3.34616E+00 -4.25426E+04 4.05208E+00 -3.92803E+04 4.05208E+00 -3.92803E+04 1.36958E+00 -3.19302E+04
82 OOC(=O)CC(=O)CC=O 3.87148E+00 -4.63271E+04 3.88506E+00 -4.74745E+04 3.90931E+00 -4.92531E+04 3.66137E+00 -4.32292E+04 3.64489E+00 -4.41545E+04 3.61762E+00 -4.55591E+04 4.20033E+00 -4.66134E+04 4.20033E+00 -4.66134E+04 2.73369E+00 -3.96031E+04
83 O=CC(=O)CC(=O)C(C)(ON(=O)=O)C(=O)OON(=O)=O 4.69689E+00 -7.05574E+04 4.75805E+00 -7.25558E+04 5.87309E+00 -9.95983E+04 3.37808E+00 -5.41135E+04 3.34736E+00 -5.52603E+04 2.89634E+00 -6.87075E+04 4.50517E+00 -6.22048E+04 4.50517E+00 -6.22048E+04 9.60582E-02 -4.59536E+04
84 O=N(=O)OOC(=O)CC1CC(C(=O)C)C1(C)C 3.72601E+00 -4.81103E+04 3.74972E+00 -4.94784E+04 3.94910E+00 -5.81313E+04 3.43024E+00 -4.38038E+04 3.41141E+00 -4.48479E+04 3.27173E+00 -5.10080E+04 3.57970E+00 -4.50914E+04 3.57970E+00 -4.50914E+04 1.55214E+00 -3.73101E+04
85 O=CCC(CC=O)C(C)(C)ON(=O)=O 3.92473E+00 -5.15326E+04 3.91308E+00 -5.08626E+04 4.02061E+00 -5.62353E+04 3.48429E+00 -4.53072E+04 3.49280E+00 -4.48100E+04 3.41814E+00 -4.86731E+04 4.11095E+00 -5.16047E+04 4.11095E+00 -5.16047E+04 3.93793E+00 -5.31051E+04
86 O=C1CC(O)C(C)(ON(=O)=O)C(O)C1 4.70137E+00 -6.65751E+04 4.81123E+00 -7.08222E+04 5.82246E+00 -9.76711E+04 3.35082E+00 -5.04922E+04 3.27611E+00 -5.29164E+04 2.77625E+00 -6.60464E+04 5.50699E+00 -7.71350E+04 5.50699E+00 -7.71350E+04 2.11414E+00 -5.53080E+04
87 OCC1CC(OO)(C(=O)O)C1(C)C 5.34444E+00 -8.14244E+04 5.28375E+00 -7.94411E+04 6.51114E+00 -1.10123E+05 3.28575E+00 -5.71426E+04 3.32079E+00 -5.61277E+04 2.76898E+00 -6.99688E+04 4.78689E+00 -7.76963E+04 4.78689E+00 -7.76963E+04 2.21707E+00 -6.12893E+04
88 O=CCC1CC(OO)C1(C)C 3.77811E+00 -4.50027E+04 3.80695E+00 -4.73462E+04 3.86706E+00 -5.10925E+04 3.58391E+00 -4.21893E+04 3.54814E+00 -4.40695E+04 3.48417E+00 -4.69462E+04 4.27682E+00 -4.55300E+04 4.27682E+00 -4.55300E+04 3.28994E+00 -4.43727E+04
89 O=CCC1(O)CC(C(=O)C)C1(C)C 3.82238E+00 -4.80972E+04 3.84924E+00 -4.98134E+04 4.12279E+00 -6.16186E+04 3.48980E+00 -4.39762E+04 3.46142E+00 -4.52806E+04 3.23588E+00 -5.34733E+04 4.09622E+00 -4.80502E+04 4.09622E+00 -4.80502E+04 3.04502E+00 -5.10269E+04
90 O=CCC1CC(C(=O)O)C1(C)C 3.97673E+00 -5.10760E+04 4.01574E+00 -5.33199E+04 4.15548E+00 -5.96651E+04 3.48160E+00 -4.51289E+04 3.44361E+00 -4.67482E+04 3.32648E+00 -5.10762E+04 4.35495E+00 -5.09296E+04 4.35495E+00 -5.09296E+04 3.25076E+00 -5.18911E+04
91 O=CCC1CC(C(=O)OO)C1(C)C 3.83872E+00 -4.76695E+04 3.86843E+00 -4.96650E+04 3.95974E+00 -5.45058E+04 3.54470E+00 -4.37911E+04 3.51341E+00 -4.53304E+04 3.42931E+00 -4.88913E+04 4.18426E+00 -4.53301E+04 4.18426E+00 -4.53301E+04 3.70311E+00 -4.86780E+04
92 OOC(=O)CC1CC(C(=O)C)C1(C)C 3.80202E+00 -4.89960E+04 3.81452E+00 -4.97397E+04 3.99542E+00 -5.80015E+04 3.49937E+00 -4.53358E+04 3.48699E+00 -4.59053E+04 3.33396E+00 -5.18538E+04 4.24724E+00 -4.81515E+04 4.24724E+00 -4.81515E+04 2.97430E+00 -4.51444E+04
93 OCC(=O)C(=O)CC(CO)C(C)(C)OO 5.64912E+00 -9.13669E+04 5.37631E+00 -8.39541E+04 7.59358E+00 -1.30144E+05 3.25166E+00 -6.46893E+04 3.38330E+00 -6.09792E+04 2.56696E+00 -8.07374E+04 5.15905E+00 -8.27928E+04 5.15905E+00 -8.27928E+04 1.49094E+00 -6.24307E+04
94 OCC(=O)C1(OO)CC(CO)C1(C)C 5.21735E+00 -8.10412E+04 5.10434E+00 -7.75441E+04 6.57455E+00 -1.12135E+05 3.26556E+00 -5.90088E+04 3.32947E+00 -5.71666E+04 2.68958E+00 -7.30346E+04 4.39847E+00 -7.23703E+04 4.39847E+00 -7.23703E+04 2.01133E+00 -6.04252E+04
95 OCC(CC(=O)C(=O)C)C(C)(C)OO 4.65654E+00 -7.04809E+04 4.53946E+00 -6.64238E+04 5.46199E+00 -9.13634E+04 3.40447E+00 -5.72093E+04 3.47976E+00 -5.47311E+04 2.99596E+00 -6.84181E+04 5.07178E+00 -7.06630E+04 5.07178E+00 -7.06630E+04 1.76584E+00 -5.26377E+04
96 OCC(=O)C(=O)CC=O 3.76885E+00 -4.67653E+04 3.77465E+00 -4.71832E+04 3.83596E+00 -5.09196E+04 3.61126E+00 -4.47954E+04 3.60421E+00 -4.51333E+04 3.53681E+00 -4.80660E+04 4.46610E+00 -4.46301E+04 4.46610E+00 -4.46301E+04 1.96334E+00 -3.91819E+04
97 O=C1CC(=O)C(C)(ON(=O)=O)C(=O)C1 3.79419E+00 -5.17827E+04 3.91547E+00 -5.69036E+04 4.42945E+00 -7.21483E+04 3.23812E+00 -4.50867E+04 3.15060E+00 -4.85576E+04 2.85843E+00 -5.76378E+04 4.68274E+00 -5.48879E+04 4.68274E+00 -5.48879E+04 7.02116E-01 -3.52644E+04
98 OOC(=O)CC(=O)C(=O)CO 4.38605E+00 -6.13261E+04 4.34909E+00 -5.96529E+04 4.63903E+00 -7.06350E+04 3.53291E+00 -5.19393E+04 3.56349E+00 -5.08226E+04 3.35226E+00 -5.77684E+04 4.60686E+00 -5.74173E+04 4.60686E+00 -5.74173E+04 1.61772E+00 -4.30924E+04
99 CC(=O)C(O)C(=O)OO 4.09068E+00 -4.88313E+04 4.08495E+00 -4.82921E+04 4.18520E+00 -5.52773E+04 3.70796E+00 -4.41235E+04 3.71641E+00 -4.37032E+04 3.59520E+00 -4.89193E+04 3.76632E+00 -4.56359E+04 3.76632E+00 -4.56359E+04 2.48638E+00 -4.05511E+04
100 O=CCC(ON(=O)=O)CC(=O)C(=O)C 3.95910E+00 -5.30804E+04 3.98110E+00 -5.41794E+04 4.20353E+00 -6.30088E+04 3.44205E+00 -4.61257E+04 3.42663E+00 -4.69092E+04 3.28630E+00 -5.28133E+04 4.42640E+00 -5.48231E+04 4.42640E+00 -5.48231E+04 2.00370E+00 -4.38025E+04
101 O=CCC1CC(O)(C(=O)C)C1(C)C 3.82238E+00 -4.80972E+04 3.84924E+00 -4.98134E+04 4.12279E+00 -6.16186E+04 3.48980E+00 -4.39762E+04 3.46142E+00 -4.52806E+04 3.23588E+00 -5.34733E+04 3.84003E+00 -4.34802E+04 3.84003E+00 -4.34802E+04 3.04502E+00 -5.10269E+04
102 OCC=O 3.56577E+00 -2.85983E+04 3.56353E+00 -2.87936E+04 3.58050E+00 -2.74447E+04 4.03097E+00 -3.17544E+04 4.03057E+00 -3.19812E+04 4.03101E+00 -3.03970E+04 3.55914E+00 -2.69229E+04 3.55914E+00 -2.69229E+04 3.58841E+00 -3.13291E+04
103 OOC(=O)C1CC(C(=O)C)C1(C)C 3.72183E+00 -4.61269E+04 3.73147E+00 -4.68169E+04 3.85835E+00 -5.36691E+04 3.50202E+00 -4.32712E+04 3.49092E+00 -4.38185E+04 3.36731E+00 -4.89690E+04 4.18426E+00 -4.53301E+04 4.18426E+00 -4.53301E+04 2.86205E+00 -4.23743E+04
104 O=N(=O)OC(C)(C)C1CC=C(C)C(O)C1 4.03823E+00 -5.23950E+04 4.09231E+00 -5.53210E+04 4.45196E+00 -6.87722E+04 3.46028E+00 -4.52714E+04 3.41254E+00 -4.73236E+04 3.16243E+00 -5.58435E+04 4.48096E+00 -5.60067E+04 4.48096E+00 -5.60067E+04 3.47525E+00 -5.34241E+04
105 OCC1CC(O)(C(=O)C)C1(C)C 4.06099E+00 -5.29514E+04 4.06116E+00 -5.29612E+04 4.45907E+00 -6.87062E+04 3.50465E+00 -4.67090E+04 3.50447E+00 -4.67161E+04 3.18812E+00 -5.69740E+04 4.12346E+00 -5.01947E+04 4.12346E+00 -5.01947E+04 2.79772E+00 -5.19749E+04
106 O=CCC(=O)CC(C(=O)C)C(C)(C)OO 4.35379E+00 -6.43585E+04 4.31144E+00 -6.28121E+04 4.99603E+00 -8.23589E+04 3.43391E+00 -5.45264E+04 3.46176E+00 -5.35259E+04 3.08640E+00 -6.49724E+04 4.50730E+00 -6.52743E+04 4.50730E+00 -6.52743E+04 2.01314E+00 -5.16897E+04
107 O=CCC1CC(C(=O)C)C1(C)C 3.31685E+00 -3.72524E+04 3.32941E+00 -3.87887E+04 3.36140E+00 -4.15932E+04 3.40077E+00 -3.69783E+04 3.38518E+00 -3.83616E+04 3.35014E+00 -4.07955E+04 3.51405E+00 -3.72438E+04 3.51405E+00 -3.72438E+04 3.31992E+00 -4.12339E+04
108 CC(=O)C(O)COO 4.01917E+00 -5.02538E+04 3.98558E+00 -4.75838E+04 4.08841E+00 -5.44395E+04 3.71916E+00 -4.69916E+04 3.76611E+00 -4.48707E+04 3.63853E+00 -5.01651E+04 3.74405E+00 -4.61479E+04 3.74405E+00 -4.61479E+04 2.18547E+00 -3.90159E+04
109 OCC(CC(=O)C(=O)O)C(C)(C)O 5.28583E+00 -8.05299E+04 5.17453E+00 -7.68119E+04 6.62890E+00 -1.12697E+05 3.38226E+00 -5.83126E+04 3.44760E+00 -5.63223E+04 2.79919E+00 -7.29973E+04 4.93545E+00 -7.64908E+04 4.93545E+00 -7.64908E+04 2.20815E+00 -6.46376E+04
110 OOC(C)(C)C1CC=C(C)C(O)C1 4.24803E+00 -5.77385E+04 4.27281E+00 -5.89127E+04 4.72060E+00 -7.44188E+04 3.45615E+00 -4.87842E+04 3.43473E+00 -4.95662E+04 3.12815E+00 -5.89352E+04 4.17141E+00 -5.87491E+04 4.17141E+00 -5.87491E+04 3.14792E+00 -5.30010E+04
111 OOCC(=O)C=O 3.69810E+00 -4.11658E+04 3.69953E+00 -4.13819E+04 3.70180E+00 -4.17070E+04 3.73145E+00 -4.08263E+04 3.72841E+00 -4.10185E+04 3.72376E+00 -4.13066E+04 4.04185E+00 -3.63867E+04 4.04185E+00 -3.63867E+04 2.20826E+00 -3.25277E+04
112 O=CCC(OO)C(=O)C 3.80639E+00 -4.57130E+04 3.80604E+00 -4.56818E+04 3.84847E+00 -4.88675E+04 3.65821E+00 -4.34972E+04 3.65868E+00 -4.34715E+04 3.60754E+00 -4.60384E+04 3.78545E+00 -4.41942E+04 3.78545E+00 -4.41942E+04 2.43278E+00 -3.80679E+04
113 OOCC(=O)C1CC(CC=O)C1(C)C 4.12221E+00 -5.78079E+04 4.14391E+00 -5.87263E+04 4.49518E+00 -7.05601E+04 3.43951E+00 -5.02696E+04 3.42299E+00 -5.08931E+04 3.19441E+00 -5.83329E+04 4.08277E+00 -5.20574E+04 4.08277E+00 -5.20574E+04 2.53354E+00 -4.96842E+04
114 OOC1CC(=O)CC(=O)C1(C)ON(=O)=O 4.49268E+00 -6.64208E+04 4.58544E+00 -6.95660E+04 5.60082E+00 -9.47029E+04 3.26514E+00 -5.25542E+04 3.20754E+00 -5.43869E+04 2.72677E+00 -6.70437E+04 5.42390E+00 -7.27956E+04 5.42390E+00 -7.27956E+04 8.96647E-01 -4.39435E+04
115 OCC(=O)O 4.13155E+00 -4.66276E+04 4.11457E+00 -4.33974E+04 4.11839E+00 -4.43968E+04 3.94225E+00 -4.45702E+04 4.00014E+00 -4.18350E+04 3.98307E+00 -4.26947E+04 4.09469E+00 -4.72001E+04 4.03610E+00 -4.55998E+04 2.79043E+00 -3.84527E+04
116 O=CCC1CC(ON(=O)=O)C1(C)C 3.55653E+00 -4.07796E+04 3.58176E+00 -4.32857E+04 3.62034E+00 -4.61100E+04 3.43506E+00 -3.81398E+04 3.40920E+00 -4.02324E+04 3.37353E+00 -4.24947E+04 4.20448E+00 -4.27876E+04 4.20448E+00 -4.27876E+04 3.61727E+00 -4.47958E+04
117 OCC(CC(=O)C(=O)C)C(C)(C)ON(=O)=O 4.38825E+00 -6.42689E+04 4.34731E+00 -6.27215E+04 5.11395E+00 -8.46157E+04 3.44466E+00 -5.37090E+04 3.47153E+00 -5.27128E+04 3.06094E+00 -6.53255E+04 5.50874E+00 -6.79207E+04 5.50874E+00 -6.79207E+04 2.09316E+00 -5.30608E+04
118 OCC(=O)OON(=O)=O 3.43413E+00 -3.51864E+04 3.43374E+00 -3.48652E+04 3.43462E+00 -3.54780E+04 3.73325E+00 -3.71248E+04 3.73581E+00 -3.68008E+04 3.73078E+00 -3.74174E+04 3.95570E+00 -3.85404E+04 3.95570E+00 -3.85404E+04 1.82062E+00 -2.74054E+04
119 OCC(=O)CC=O 3.63643E+00 -3.94236E+04 3.63556E+00 -3.92385E+04 3.63698E+00 -3.95365E+04 3.75279E+00 -3.98738E+04 3.75519E+00 -3.97027E+04 3.75131E+00 -3.99778E+04 4.02154E+00 -3.78502E+04 4.02154E+00 -3.78502E+04 2.83200E+00 -3.66406E+04
120 O=CCC(O)CC=O 3.88839E+00 -4.36387E+04 3.88775E+00 -4.35461E+04 3.89500E+00 -4.45163E+04 3.73681E+00 -4.11110E+04 3.73796E+00 -4.10324E+04 3.72552E+00 -4.18503E+04 3.89491E+00 -4.29197E+04 3.89491E+00 -4.29197E+04 3.78532E+00 -4.57144E+04
121 OOC(=O)CC(=O)C(=O)C 3.69759E+00 -4.43619E+04 3.69293E+00 -4.39396E+04 3.74339E+00 -4.77594E+04 3.61575E+00 -4.29300E+04 3.62208E+00 -4.25746E+04 3.56019E+00 -4.57094E+04 4.41408E+00 -4.52876E+04 4.41408E+00 -4.52876E+04 1.89262E+00 -3.32994E+04
122 CC(=O)C 3.14225E+00 -1.77803E+04 3.14105E+00 -1.78237E+04 3.13268E+00 -1.81312E+04 3.13879E+00 -1.77224E+04 3.14124E+00 -1.77834E+04 3.15804E+00 -1.82137E+04 3.01191E+00 -1.76147E+04 3.01191E+00 -1.76147E+04 3.13450E+00 -1.80026E+04
123 OOCC1CC(C(=O)O)C1(C)C 4.56595E+00 -6.39192E+04 4.57111E+00 -6.41428E+04 4.96256E+00 -7.76257E+04 3.44622E+00 -5.09441E+04 3.44223E+00 -5.10824E+04 3.18803E+00 -5.88217E+04 4.35981E+00 -5.95279E+04 4.35981E+00 -5.95279E+04 2.49197E+00 -5.14963E+04
124 CC(=O)O 3.61087E+00 -2.75861E+04 3.59748E+00 -2.86114E+04 3.60337E+00 -2.81410E+04 4.01533E+00 -3.01933E+04 4.01510E+00 -3.13860E+04 4.01559E+00 -3.08417E+04 3.73713E+00 -3.13005E+04 3.73713E+00 -3.13005E+04 3.06534E+00 -2.86597E+04
125 O=CC(=O)C=O 3.44790E+00 -3.08869E+04 3.44205E+00 -3.20778E+04 3.45329E+00 -3.00827E+04 3.38638E+00 -2.92812E+04 3.38955E+00 -3.04520E+04 3.38233E+00 -2.84757E+04 3.77608E+00 -2.55316E+04 3.77608E+00 -2.55316E+04 2.85479E+00 -3.01523E+04
126 O=C1CC(=O)C(C)(ON(=O)=O)C(C1)C(C)(C)O 4.36482E+00 -6.41149E+04 4.44702E+00 -6.69726E+04 5.85822E+00 -1.00074E+05 3.26774E+00 -5.18729E+04 3.21511E+00 -5.35890E+04 2.57458E+00 -7.00889E+04 5.03452E+00 -6.74235E+04 5.03452E+00 -6.74235E+04 1.74490E+00 -5.35966E+04
127 O=CCC(O)CC(=O)C(=O)C 3.93151E+00 -5.07510E+04 3.94196E+00 -5.13715E+04 4.13018E+00 -5.99714E+04 3.57880E+00 -4.64882E+04 3.56852E+00 -4.69583E+04 3.41035E+00 -5.30888E+04 4.39344E+00 -5.25211E+04 4.39344E+00 -5.25211E+04 2.18786E+00 -4.47221E+04
128 OOC1C(=O)CC(=O)C(C)(ON(=O)=O)C1=O 4.79534E+00 -7.39827E+04 4.94649E+00 -7.83637E+04 6.78683E+00 -1.16340E+05 3.15925E+00 -5.55464E+04 3.07914E+00 -5.78629E+04 2.38301E+00 -7.43762E+04 5.29961E+00 -6.74003E+04 5.29961E+00 -6.74003E+04 -8.42686E-02 -4.37146E+04
129 O=CC(O)C(=O)C 3.60119E+00 -3.54823E+04 3.60143E+00 -3.67070E+04 3.60896E+00 -3.91802E+04 3.75348E+00 -3.60704E+04 3.74136E+00 -3.72524E+04 3.71076E+00 -3.95667E+04 3.48522E+00 -2.90788E+04 3.48522E+00 -2.90788E+04 2.83200E+00 -3.66406E+04
130 OOC1CC=C(C)C(O)C1 4.11142E+00 -5.20732E+04 4.13106E+00 -5.33173E+04 4.29632E+00 -6.13067E+04 3.56017E+00 -4.58265E+04 3.53756E+00 -4.67230E+04 3.38049E+00 -5.21510E+04 4.12059E+00 -5.48754E+04 4.12059E+00 -5.48754E+04 2.81115E+00 -4.46906E+04
131 OCC(OO)CC(=O)C(=O)CO 5.37005E+00 -8.50253E+04 5.11244E+00 -7.72977E+04 6.35505E+00 -1.07761E+05 3.31947E+00 -6.27440E+04 3.46295E+00 -5.86128E+04 2.89034E+00 -7.33359E+04 4.95205E+00 -7.56097E+04 4.95205E+00 -7.56097E+04 1.15417E+00 -5.41204E+04
132 O=CC(=O)C 3.26522E+00 -2.10448E+04 3.20920E+00 -2.40888E+04 3.22350E+00 -2.31901E+04 3.23878E+00 -2.06393E+04 3.32158E+00 -2.43474E+04 3.30232E+00 -2.32790E+04 3.47314E+00 -2.15731E+04 3.47314E+00 -2.15731E+04 2.99465E+00 -2.40774E+04
133 OCC1CC(O)(C(=O)O)C1(C)C 4.97415E+00 -7.10461E+04 4.98025E+00 -7.12911E+04 5.90187E+00 -9.77615E+04 3.40530E+00 -5.25401E+04 3.40093E+00 -5.26776E+04 2.90636E+00 -6.57479E+04 4.54169E+00 -6.76504E+04 4.49385E+00 -6.60502E+04 2.72855E+00 -6.26321E+04
134 OCC1CC(OO)(C(=O)C)C1(C)C 4.34310E+00 -6.16881E+04 4.32021E+00 -6.07277E+04 4.86435E+00 -7.81947E+04 3.40696E+00 -5.15055E+04 3.42498E+00 -5.08847E+04 3.07700E+00 -6.11697E+04 4.42443E+00 -6.02406E+04 4.42443E+00 -6.02406E+04 2.28623E+00 -5.06322E+04
135 O=C1CC(O)C(C)(O)C(O)C1 4.63523E+00 -6.34686E+04 4.70534E+00 -6.65780E+04 5.60984E+00 -9.29179E+04 3.45530E+00 -5.00029E+04 3.39657E+00 -5.18811E+04 2.86894E+00 -6.55614E+04 4.68699E+00 -6.90313E+04 4.68699E+00 -6.90313E+04 2.29830E+00 -5.62277E+04
136 O=CCC(C(=O)O)C(C)(C)O 4.49286E+00 -5.98353E+04 4.49837E+00 -6.01247E+04 4.87748E+00 -7.47921E+04 3.58507E+00 -4.90163E+04 3.58021E+00 -4.92072E+04 3.31051E+00 -5.81037E+04 4.23434E+00 -5.87872E+04 4.23434E+00 -5.87872E+04 3.21186E+00 -5.83782E+04
137 OCC(O)CC(=O)C(=O)O 5.13191E+00 -7.61686E+04 5.02708E+00 -7.22829E+04 5.75313E+00 -9.39548E+04 3.45434E+00 -5.71016E+04 3.52610E+00 -5.49099E+04 3.11354E+00 -6.61435E+04 4.86626E+00 -7.27089E+04 4.86626E+00 -7.27089E+04 1.87139E+00 -5.63273E+04
138 O=CCC1CC(OO)(C(=O)C)C1(C)C 4.06656E+00 -5.61032E+04 4.09059E+00 -5.71801E+04 4.46915E+00 -7.01722E+04 3.41688E+00 -4.88331E+04 3.39758E+00 -4.95711E+04 3.14484E+00 -5.77411E+04 4.26688E+00 -5.35261E+04 4.26688E+00 -5.35261E+04 2.53354E+00 -4.96842E+04
139 OOCC1CC(C(=O)C)C1(C)C 3.68846E+00 -4.69143E+04 3.68380E+00 -4.66074E+04 3.81459E+00 -5.34444E+04 3.51225E+00 -4.48654E+04 3.51748E+00 -4.46194E+04 3.38994E+00 -4.98479E+04 4.15276E+00 -4.58421E+04 4.15276E+00 -4.58421E+04 2.56114E+00 -4.08392E+04
140 O=CCC(=O)CC=O 3.48932E+00 -3.64099E+04 3.49188E+00 -3.72212E+04 3.48775E+00 -3.55638E+04 3.46115E+00 -3.47183E+04 3.45730E+00 -3.54598E+04 3.46406E+00 -3.39338E+04 3.55300E+00 -3.38262E+04 3.55300E+00 -3.38262E+04 3.07931E+00 -3.56926E+04
141 O=CC(=O)CC(=O)OON(=O)=O 3.66935E+00 -4.18133E+04 3.68664E+00 -4.36915E+04 3.70055E+00 -4.49237E+04 3.50123E+00 -3.84802E+04 3.48493E+00 -4.00459E+04 3.47243E+00 -4.10488E+04 3.65049E+00 -3.84662E+04 3.65049E+00 -3.84662E+04 1.19926E+00 -2.89987E+04
142 CC(=O)C1CC(O)C1(C)C 3.45257E+00 -3.67610E+04 3.45819E+00 -3.79675E+04 3.50676E+00 -4.31470E+04 3.58890E+00 -3.73743E+04 3.57333E+00 -3.84939E+04 3.48973E+00 -4.30526E+04 4.17152E+00 -4.04856E+04 4.17152E+00 -4.04856E+04 2.96036E+00 -3.94118E+04
143 O=N(=O)OCC1CC(C(=O)O)C1(C)C 4.27533E+00 -5.73154E+04 4.32114E+00 -5.95464E+04 4.62464E+00 -7.08169E+04 3.45307E+00 -4.72643E+04 3.41675E+00 -4.87335E+04 3.21529E+00 -5.55875E+04 4.80564E+00 -5.67855E+04 4.80564E+00 -5.67855E+04 2.81929E+00 -5.19194E+04
144 OCC(=O)C(=O)CO 4.07291E+00 -5.56468E+04 3.97359E+00 -5.00982E+04 4.09808E+00 -5.68145E+04 3.58053E+00 -5.14342E+04 3.69294E+00 -4.72603E+04 3.55554E+00 -5.22743E+04 4.39909E+00 -4.86541E+04 4.39909E+00 -4.86541E+04 1.71604E+00 -4.01299E+04
145 OOC1CC(C(=O)C)C1(C)C 3.59887E+00 -4.30679E+04 3.60653E+00 -4.37298E+04 3.69504E+00 -4.93838E+04 3.53679E+00 -4.19749E+04 3.52616E+00 -4.25302E+04 3.42391E+00 -4.70526E+04 4.27682E+00 -4.55300E+04 4.27682E+00 -4.55300E+04 2.44888E+00 -3.80690E+04
146 O=N(=O)OOC(=O)CC(O)C(=O)C 3.94236E+00 -4.87490E+04 3.95436E+00 -4.96125E+04 4.11325E+00 -5.79367E+04 3.63152E+00 -4.43751E+04 3.61948E+00 -4.50471E+04 3.48397E+00 -5.11371E+04 3.70436E+00 -4.61973E+04 3.70436E+00 -4.61973E+04 1.17647E+00 -3.54869E+04
147 O=CCC(CC=O)C(C)(C)O 3.90301E+00 -4.74843E+04 3.89892E+00 -4.71452E+04 4.00495E+00 -5.38499E+04 3.65524E+00 -4.39366E+04 3.65995E+00 -4.36645E+04 3.55416E+00 -4.88115E+04 3.79787E+00 -4.51013E+04 3.79787E+00 -4.51013E+04 4.12209E+00 -5.40247E+04
148 O=CC1CC(C(=O)C)C1(C)C 3.26636E+00 -3.46127E+04 3.27372E+00 -3.61731E+04 3.29032E+00 -3.83347E+04 3.37716E+00 -3.45559E+04 3.36475E+00 -3.60133E+04 3.34218E+00 -3.79664E+04 3.45107E+00 -3.44223E+04 3.45107E+00 -3.44223E+04 3.20767E+00 -3.84638E+04
149 OC(=O)CC1CC(C(=O)C)C1(C)C 3.93921E+00 -5.23318E+04 3.95727E+00 -5.32722E+04 4.20899E+00 -6.33420E+04 3.43134E+00 -4.65636E+04 3.41469E+00 -4.72382E+04 3.22002E+00 -5.39645E+04 4.41793E+00 -5.37510E+04 4.41793E+00 -5.37510E+04 2.52195E+00 -4.83575E+04
150 OCC(=O)C1(O)CC(CO)C1(C)C 4.82500E+00 -7.08233E+04 4.78910E+00 -6.94853E+04 5.90304E+00 -9.92617E+04 3.37953E+00 -5.44706E+04 3.40434E+00 -5.36968E+04 2.82966E+00 -6.86905E+04 4.15326E+00 -6.23245E+04 4.15326E+00 -6.23245E+04 2.52282E+00 -6.17679E+04
151 O=CCC(=O)C(=O)O 3.92162E+00 -4.67044E+04 3.93618E+00 -4.79618E+04 3.96068E+00 -4.97833E+04 3.63068E+00 -4.29768E+04 3.61069E+00 -4.39673E+04 3.58007E+00 -4.53713E+04 4.76827E+00 -4.75738E+04 4.76827E+00 -4.75738E+04 2.16908E+00 -4.00460E+04
152 OC(=O)CC(O)C(=O)C 4.31595E+00 -5.62178E+04 4.29967E+00 -5.52398E+04 4.50920E+00 -6.51545E+04 3.61793E+00 -4.82815E+04 3.63530E+00 -4.75946E+04 3.44633E+00 -5.41925E+04 3.97929E+00 -5.48570E+04 3.97929E+00 -5.48570E+04 2.14629E+00 -4.65343E+04
