CpNo SMILES VP_N_BP_N_ParA VP_N_BP_N_ParB VP_N_BP_SB_ParA VP_N_BP_SB_ParB VP_N_BP_JR_ParA VP_N_BP_JR_ParB VP_MY_BP_N_ParA VP_MY_BP_N_ParB VP_MY_BP_SB_ParA VP_MY_BP_SB_ParB VP_MY_BP_JR_ParA VP_MY_BP_JR_ParB EVAP_ParA EVAP_ParB EVAP2_ParA EVAP2_ParB SIMPOL_ParA SIMPOL_ParB
18 OOC(=O)C1CC(C(=O)O)C1(C)C 4.22415E+00 -5.78563E+04 4.25861E+00 -5.94270E+04 4.61056E+00 -7.17809E+04 3.44292E+00 -4.91625E+04 3.41372E+00 -5.02063E+04 3.16801E+00 -5.77678E+04 4.38208E+00 -5.90159E+04 4.38208E+00 -5.90159E+04 2.79288E+00 -5.30314E+04
19 O=CCC(=O)CC(C(=O)C)C(C)(C)O 4.05075E+00 -5.57364E+04 4.04415E+00 -5.54276E+04 4.54782E+00 -7.25043E+04 3.51367E+00 -4.96851E+04 3.51898E+00 -4.94647E+04 3.19072E+00 -6.04700E+04 4.12188E+00 -5.60286E+04 4.12188E+00 -5.60286E+04 2.52462E+00 -5.30325E+04
20 OOC(=O)C=O 3.63676E+00 -3.18989E+04 3.62992E+00 -3.30178E+04 3.63977E+00 -3.14951E+04 3.82480E+00 -3.27373E+04 3.82021E+00 -3.38962E+04 3.82580E+00 -3.23132E+04 3.76391E+00 -3.28647E+04 3.76391E+00 -3.28647E+04 3.37783E+00 -3.15215E+04
21 OCC(CC(=O)C(=O)C)C(C)(C)O 4.30995E+00 -6.10931E+04 4.25435E+00 -5.86672E+04 4.94145E+00 -8.04538E+04 3.50466E+00 -5.24267E+04 3.54892E+00 -5.07887E+04 3.11749E+00 -6.39775E+04 4.80011E+00 -6.14173E+04 4.80011E+00 -6.14173E+04 2.27732E+00 -5.39805E+04
22 O=CCC(=O)CC(O)C(=O)C 3.93151E+00 -5.07510E+04 3.94196E+00 -5.13715E+04 4.13018E+00 -5.99714E+04 3.57880E+00 -4.64882E+04 3.56852E+00 -4.69583E+04 3.41035E+00 -5.30888E+04 4.00213E+00 -4.92769E+04 4.00213E+00 -4.92769E+04 2.18786E+00 -4.47221E+04
23 OOC1CC(C(=O)O)C1(C)C 4.44860E+00 -5.95154E+04 4.48067E+00 -6.11171E+04 4.77089E+00 -7.23151E+04 3.48700E+00 -4.82978E+04 3.45858E+00 -4.93268E+04 3.24602E+00 -5.60146E+04 4.42909E+00 -5.92158E+04 4.42909E+00 -5.92158E+04 2.37971E+00 -4.87262E+04
24 OOC(=O)CC(=O)CC(=O)C(=O)C 4.07217E+00 -5.68862E+04 4.04990E+00 -5.58876E+04 4.35253E+00 -6.69777E+04 3.47640E+00 -5.04591E+04 3.49420E+00 -4.97564E+04 3.28230E+00 -5.70872E+04 4.66846E+00 -5.62148E+04 4.66846E+00 -5.62148E+04 1.13622E+00 -3.86108E+04
25 OCC1CC(C(=O)C)C1(C)C 3.48857E+00 -4.10531E+04 3.48872E+00 -4.10672E+04 3.55978E+00 -4.62931E+04 3.55187E+00 -4.13148E+04 3.55165E+00 -4.13272E+04 3.45944E+00 -4.57369E+04 4.32465E+00 -4.39583E+04 4.32465E+00 -4.39583E+04 3.07262E+00 -4.21819E+04
26 CC(=O)C(=O)CC(O)CO 4.14694E+00 -5.60129E+04 4.10765E+00 -5.39336E+04 4.39895E+00 -6.60837E+04 3.58702E+00 -5.01793E+04 3.62583E+00 -4.86742E+04 3.38247E+00 -5.69396E+04 4.75651E+00 -5.76354E+04 4.75651E+00 -5.76354E+04 1.94055E+00 -4.56701E+04
27 OCC(CC(=O)C(=O)O)C(C)(C)OO 5.73579E+00 -9.16072E+04 5.51490E+00 -8.53438E+04 7.40691E+00 -1.26896E+05 3.26417E+00 -6.29079E+04 3.37242E+00 -5.98449E+04 2.65276E+00 -7.74734E+04 5.15674E+00 -8.57365E+04 5.15674E+00 -8.57365E+04 1.69667E+00 -6.32949E+04
28 O=C1CC(O)C(C)(ON(=O)=O)C(=O)C1 4.23040E+00 -5.88960E+04 4.34686E+00 -6.35877E+04 5.07871E+00 -8.40912E+04 3.33185E+00 -4.85438E+04 3.24646E+00 -5.14903E+04 2.84412E+00 -6.26709E+04 5.27717E+00 -6.69511E+04 5.27717E+00 -6.69511E+04 1.40813E+00 -4.52862E+04
